'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',0.100,-0.080,-0.570,-0.660
'0:00.002',0.110,-0.060,-0.560,-0.660
'0:00.004',0.130,-0.060,-0.550,-0.670
'0:00.006',0.140,-0.070,-0.550,-0.680
'0:00.008',0.150,-0.070,-0.550,-0.680
'0:00.010',0.150,-0.050,-0.540,-0.670
'0:00.012',0.180,-0.040,-0.540,-0.690
'0:00.014',0.210,-0.030,-0.550,-0.730
'0:00.016',0.230,-0.020,-0.560,-0.750
'0:00.018',0.250,-0.010,-0.560,-0.750
'0:00.020',0.250,0.000,-0.560,-0.760
'0:00.022',0.250,0.000,-0.560,-0.750
'0:00.024',0.250,-0.010,-0.560,-0.740
'0:00.026',0.260,-0.020,-0.570,-0.760
'0:00.028',0.270,-0.040,-0.580,-0.780
'0:00.030',0.280,-0.060,-0.570,-0.790
'0:00.032',0.290,-0.060,-0.560,-0.790
'0:00.034',0.290,-0.060,-0.540,-0.780
'0:00.036',0.280,-0.040,-0.540,-0.750
'0:00.038',0.260,-0.010,-0.520,-0.690
'0:00.040',0.250,-0.010,-0.510,-0.670
'0:00.042',0.240,-0.030,-0.520,-0.690
'0:00.044',0.250,-0.040,-0.520,-0.700
'0:00.046',0.250,-0.060,-0.510,-0.700
'0:00.048',0.250,-0.060,-0.500,-0.690
'0:00.050',0.230,-0.040,-0.480,-0.660
'0:00.052',0.190,0.000,-0.450,-0.620
'0:00.054',0.180,0.000,-0.450,-0.600
'0:00.056',0.170,-0.020,-0.470,-0.590
'0:00.058',0.170,-0.040,-0.500,-0.610
'0:00.060',0.170,-0.070,-0.510,-0.610
'0:00.062',0.160,-0.090,-0.510,-0.600
'0:00.064',0.150,-0.100,-0.500,-0.560
'0:00.066',0.130,-0.090,-0.480,-0.510
'0:00.068',0.120,-0.090,-0.470,-0.480
'0:00.070',0.110,-0.080,-0.440,-0.440
'0:00.072',0.090,-0.100,-0.430,-0.400
'0:00.074',0.060,-0.130,-0.420,-0.370
'0:00.076',0.030,-0.150,-0.400,-0.350
'0:00.078',0.000,-0.170,-0.370,-0.320
'0:00.080',-0.010,-0.150,-0.330,-0.280
'0:00.082',-0.020,-0.130,-0.300,-0.250
'0:00.084',-0.030,-0.130,-0.260,-0.220
'0:00.086',-0.040,-0.130,-0.240,-0.190
'0:00.088',-0.060,-0.140,-0.210,-0.160
'0:00.090',-0.070,-0.160,-0.180,-0.130
'0:00.092',-0.100,-0.170,-0.150,-0.110
'0:00.094',-0.140,-0.160,-0.100,-0.060
'0:00.096',-0.160,-0.140,-0.070,-0.020
'0:00.098',-0.170,-0.120,-0.050,0.000
'0:00.100',-0.190,-0.110,-0.040,0.010
'0:00.102',-0.200,-0.110,-0.020,0.020
'0:00.104',-0.210,-0.120,-0.020,0.040
'0:00.106',-0.210,-0.140,-0.020,0.060
'0:00.108',-0.220,-0.130,-0.010,0.070
'0:00.110',-0.220,-0.130,-0.010,0.060
'0:00.112',-0.210,-0.140,-0.010,0.070
'0:00.114',-0.200,-0.140,-0.010,0.090
'0:00.116',-0.200,-0.130,0.000,0.100
'0:00.118',-0.220,-0.130,0.010,0.110
'0:00.120',-0.230,-0.110,0.020,0.130
'0:00.122',-0.240,-0.080,0.030,0.170
'0:00.124',-0.230,-0.080,0.020,0.180
'0:00.126',-0.220,-0.100,0.010,0.160
'0:00.128',-0.210,-0.110,0.000,0.150
'0:00.130',-0.210,-0.120,0.000,0.150
'0:00.132',-0.220,-0.110,0.010,0.150
'0:00.134',-0.230,-0.090,0.020,0.160
'0:00.136',-0.250,-0.070,0.030,0.200
'0:00.138',-0.260,-0.050,0.030,0.220
'0:00.140',-0.260,-0.050,0.030,0.220
'0:00.142',-0.250,-0.060,0.020,0.190
'0:00.144',-0.240,-0.060,0.020,0.170
'0:00.146',-0.230,-0.050,0.020,0.170
'0:00.148',-0.210,-0.040,0.020,0.160
'0:00.150',-0.210,-0.010,0.020,0.170
'0:00.152',-0.220,0.010,0.030,0.180
'0:00.154',-0.220,0.010,0.050,0.170
'0:00.156',-0.210,0.010,0.060,0.160
'0:00.158',-0.190,0.000,0.060,0.150
'0:00.160',-0.180,0.000,0.050,0.140
'0:00.162',-0.180,0.000,0.040,0.140
'0:00.164',-0.190,0.030,0.060,0.190
'0:00.166',-0.190,0.060,0.080,0.210
'0:00.168',-0.170,0.060,0.070,0.200
'0:00.170',-0.170,0.060,0.060,0.180
'0:00.172',-0.170,0.040,0.040,0.160
'0:00.174',-0.160,0.010,0.030,0.150
'0:00.176',-0.160,0.000,0.040,0.130
'0:00.178',-0.170,0.000,0.050,0.150
'0:00.180',-0.180,0.030,0.050,0.160
'0:00.182',-0.180,0.040,0.060,0.150
'0:00.184',-0.170,0.030,0.060,0.150
'0:00.186',-0.160,0.030,0.050,0.150
'0:00.188',-0.150,0.030,0.040,0.160
'0:00.190',-0.140,0.010,0.020,0.150
'0:00.192',-0.150,0.020,0.020,0.160
'0:00.194',-0.140,0.030,0.020,0.170
'0:00.196',-0.120,0.020,0.020,0.170
'0:00.198',-0.100,0.030,0.020,0.170
'0:00.200',-0.080,0.050,0.020,0.170
'0:00.202',-0.070,0.060,0.020,0.170
'0:00.204',-0.060,0.070,0.030,0.180
'0:00.206',-0.080,0.100,0.050,0.210
'0:00.208',-0.090,0.110,0.060,0.200
'0:00.210',-0.080,0.090,0.050,0.180
'0:00.212',-0.070,0.080,0.030,0.160
'0:00.214',-0.060,0.070,0.020,0.150
'0:00.216',-0.050,0.080,0.020,0.140
'0:00.218',-0.040,0.090,0.030,0.150
'0:00.220',-0.030,0.100,0.050,0.170
'0:00.222',-0.030,0.110,0.040,0.170
'0:00.224',-0.010,0.090,0.030,0.160
'0:00.226',-0.010,0.060,0.020,0.150
'0:00.228',0.000,0.050,0.000,0.150
'0:00.230',0.000,0.050,0.010,0.150
'0:00.232',0.000,0.060,0.030,0.150
'0:00.234',-0.010,0.100,0.040,0.150
'0:00.236',-0.010,0.110,0.040,0.170
'0:00.238',0.000,0.100,0.030,0.170
'0:00.240',0.010,0.080,0.010,0.170
'0:00.242',0.000,0.050,0.010,0.160
'0:00.244',0.010,0.040,0.000,0.150
'0:00.246',0.020,0.040,0.010,0.170
'0:00.248',0.010,0.070,0.050,0.200
'0:00.250',0.000,0.100,0.070,0.220
'0:00.252',-0.010,0.110,0.060,0.210
'0:00.254',0.000,0.110,0.050,0.210
'0:00.256',0.000,0.090,0.030,0.200
'0:00.258',0.010,0.060,0.030,0.190
'0:00.260',0.010,0.040,0.040,0.170
'0:00.262',0.000,0.050,0.040,0.180
'0:00.264',-0.010,0.080,0.050,0.200
'0:00.266',0.000,0.090,0.060,0.190
'0:00.268',0.000,0.090,0.060,0.190
'0:00.270',0.000,0.080,0.070,0.200
'0:00.272',0.010,0.060,0.050,0.210
'0:00.274',0.010,0.040,0.020,0.200
'0:00.276',0.010,0.060,0.020,0.200
'0:00.278',0.010,0.080,0.020,0.210
'0:00.280',0.030,0.090,0.020,0.230
'0:00.282',0.050,0.090,0.010,0.230
'0:00.284',0.050,0.100,0.010,0.220
'0:00.286',0.060,0.090,0.000,0.210
'0:00.288',0.060,0.060,0.010,0.210
'0:00.290',0.050,0.040,0.020,0.230
'0:00.292',0.030,0.040,0.040,0.230
'0:00.294',0.040,0.040,0.020,0.220
'0:00.296',0.040,0.030,-0.020,0.210
'0:00.298',0.050,0.030,-0.080,0.210
'0:00.300',0.040,0.030,-0.120,0.220
'0:00.302',0.030,0.040,-0.180,0.240
'0:00.304',0.010,0.060,-0.210,0.280
'0:00.306',-0.010,0.070,-0.230,0.300
'0:00.308',-0.010,0.050,-0.250,0.280
'0:00.310',0.000,0.030,-0.280,0.260
'0:00.312',0.010,0.010,-0.310,0.260
'0:00.314',0.030,0.000,-0.330,0.260
'0:00.316',0.030,0.000,-0.340,0.260
'0:00.318',0.020,0.020,-0.330,0.260
'0:00.320',0.010,0.040,-0.330,0.260
'0:00.322',0.020,0.040,-0.340,0.250
'0:00.324',0.030,0.020,-0.360,0.240
'0:00.326',0.030,0.000,-0.370,0.230
'0:00.328',0.030,-0.010,-0.360,0.220
'0:00.330',0.040,-0.010,-0.340,0.220
'0:00.332',0.040,0.030,-0.300,0.240
'0:00.334',0.010,0.080,-0.250,0.270
'0:00.336',0.000,0.080,-0.240,0.280
'0:00.338',0.000,0.070,-0.230,0.290
