'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:02.572',0.020,-0.420,-0.690,-0.670
'0:02.574',0.030,-0.440,-0.690,-0.670
'0:02.576',0.030,-0.440,-0.690,-0.680
'0:02.578',0.040,-0.440,-0.690,-0.680
'0:02.580',0.040,-0.420,-0.670,-0.660
'0:02.582',0.040,-0.370,-0.650,-0.650
'0:02.584',0.050,-0.340,-0.640,-0.650
'0:02.586',0.050,-0.330,-0.630,-0.670
'0:02.588',0.050,-0.330,-0.630,-0.680
'0:02.590',0.060,-0.350,-0.620,-0.680
'0:02.592',0.060,-0.360,-0.610,-0.670
'0:02.594',0.050,-0.330,-0.590,-0.660
'0:02.596',0.060,-0.290,-0.570,-0.640
'0:02.598',0.090,-0.270,-0.570,-0.640
'0:02.600',0.110,-0.250,-0.570,-0.660
'0:02.602',0.120,-0.250,-0.570,-0.670
'0:02.604',0.140,-0.240,-0.580,-0.670
'0:02.606',0.160,-0.250,-0.580,-0.680
'0:02.608',0.180,-0.240,-0.580,-0.680
'0:02.610',0.180,-0.220,-0.570,-0.680
'0:02.612',0.200,-0.210,-0.570,-0.690
'0:02.614',0.220,-0.200,-0.580,-0.700
'0:02.616',0.230,-0.180,-0.570,-0.710
'0:02.618',0.220,-0.160,-0.560,-0.720
'0:02.620',0.230,-0.150,-0.560,-0.730
'0:02.622',0.230,-0.140,-0.560,-0.710
'0:02.624',0.240,-0.130,-0.570,-0.700
'0:02.626',0.260,-0.130,-0.590,-0.720
'0:02.628',0.280,-0.130,-0.610,-0.730
'0:02.630',0.300,-0.130,-0.600,-0.750
'0:02.632',0.320,-0.120,-0.600,-0.760
'0:02.634',0.350,-0.100,-0.580,-0.760
'0:02.636',0.370,-0.080,-0.560,-0.750
'0:02.638',0.380,-0.060,-0.540,-0.740
'0:02.640',0.380,-0.060,-0.530,-0.750
'0:02.642',0.380,-0.070,-0.530,-0.770
'0:02.644',0.380,-0.080,-0.530,-0.780
'0:02.646',0.370,-0.090,-0.520,-0.750
'0:02.648',0.360,-0.090,-0.510,-0.730
'0:02.650',0.340,-0.060,-0.470,-0.710
'0:02.652',0.300,-0.030,-0.440,-0.660
'0:02.654',0.290,-0.030,-0.440,-0.640
'0:02.656',0.280,-0.050,-0.440,-0.630
'0:02.658',0.270,-0.070,-0.440,-0.630
'0:02.660',0.260,-0.100,-0.460,-0.630
'0:02.662',0.260,-0.120,-0.460,-0.620
'0:02.664',0.250,-0.110,-0.460,-0.590
'0:02.666',0.230,-0.090,-0.440,-0.560
'0:02.668',0.220,-0.100,-0.430,-0.540
'0:02.670',0.210,-0.110,-0.420,-0.520
'0:02.672',0.200,-0.140,-0.400,-0.490
'0:02.674',0.170,-0.170,-0.390,-0.480
'0:02.676',0.140,-0.200,-0.370,-0.450
'0:02.678',0.100,-0.190,-0.350,-0.410
'0:02.680',0.060,-0.170,-0.320,-0.360
'0:02.682',0.040,-0.160,-0.290,-0.330
'0:02.684',0.020,-0.160,-0.270,-0.300
'0:02.686',0.000,-0.160,-0.250,-0.270
'0:02.688',-0.020,-0.180,-0.240,-0.230
'0:02.690',-0.050,-0.210,-0.220,-0.190
'0:02.692',-0.090,-0.220,-0.180,-0.140
'0:02.694',-0.130,-0.210,-0.150,-0.090
'0:02.696',-0.150,-0.220,-0.120,-0.050
'0:02.698',-0.170,-0.220,-0.080,-0.020
'0:02.700',-0.180,-0.210,-0.050,0.000
'0:02.702',-0.190,-0.210,-0.020,0.020
'0:02.704',-0.200,-0.210,0.000,0.040
'0:02.706',-0.230,-0.200,0.010,0.090
'0:02.708',-0.260,-0.180,0.030,0.130
'0:02.710',-0.280,-0.180,0.040,0.150
'0:02.712',-0.280,-0.180,0.040,0.170
'0:02.714',-0.280,-0.180,0.060,0.190
'0:02.716',-0.290,-0.170,0.080,0.200
'0:02.718',-0.310,-0.160,0.100,0.210
'0:02.720',-0.320,-0.140,0.110,0.250
'0:02.722',-0.330,-0.130,0.140,0.290
'0:02.724',-0.330,-0.140,0.170,0.300
'0:02.726',-0.340,-0.160,0.180,0.290
'0:02.728',-0.330,-0.160,0.180,0.290
'0:02.730',-0.330,-0.160,0.180,0.310
'0:02.732',-0.330,-0.140,0.190,0.310
'0:02.734',-0.340,-0.110,0.200,0.310
'0:02.736',-0.350,-0.080,0.220,0.340
'0:02.738',-0.330,-0.070,0.210,0.330
'0:02.740',-0.330,-0.080,0.200,0.310
'0:02.742',-0.330,-0.090,0.190,0.280
'0:02.744',-0.330,-0.100,0.180,0.270
'0:02.746',-0.310,-0.100,0.180,0.270
'0:02.748',-0.300,-0.080,0.180,0.290
'0:02.750',-0.310,-0.040,0.190,0.300
'0:02.752',-0.300,-0.010,0.180,0.290
